HUGO	Label	UNIPROT_KB_ID
HCAR2	LABEL	Q8TDS4
HCAR3	LABEL	P49019
HCK	LABEL	P08631
HCN1	LABEL	O60741
HCN2	LABEL	Q9UL51
HCN3	LABEL	Q9P1Z3
HCN4	LABEL	Q9Y3Q4
HCRT	LABEL	O43612
HCRTR1	LABEL	O43613
HCRTR2	LABEL	O43614
HDAC1	LABEL	Q13547
HDAC10	LABEL	Q969S8
HDAC11	LABEL	Q96DB2
HDAC2	LABEL	Q92769
HDAC3	LABEL	O15379
HDAC4	LABEL	P56524
HDAC5	LABEL	Q9UQL6
HDAC6	LABEL	Q9UBN7
HDAC7	LABEL	Q8WUI4
HDAC8	LABEL	Q9BY41
HDAC9	LABEL	Q9UKV0
HDC	LABEL	P19113
HGS	LABEL	O14964
HHAT	LABEL	Q5VTY9
HIBADH	LABEL	P31937
HIBCH	LABEL	Q6NVY1
HIF1A	LABEL	Q16665
HINT1	LABEL	P49773
HIPK3	LABEL	Q9H422
HK1	LABEL	P19367
HK2	LABEL	P52789
HLA-A	LABEL	P04439
HLCS	LABEL	P50747
HMGCR	LABEL	P04035
HMGCS2	LABEL	P54868
HMMR	LABEL	O75330
HMOX1	LABEL	P09601
HMOX2	LABEL	P30519
HNF4A	LABEL	P41235
HNMT	LABEL	P50135
HPGD	LABEL	P15428
HPGDS	LABEL	O60760
HPN	LABEL	P05981
HPRT1	LABEL	P00492
HRAS	LABEL	P01112
HRH1	LABEL	P35367
HRH2	LABEL	P25021
HRH3	LABEL	Q9Y5N1
HRH4	LABEL	Q9H3N8
HRSP12	LABEL	P52758
HS3ST3A1	LABEL	Q9Y663
HSD11B1	LABEL	P28845
HSD11B2	LABEL	P80365
HSD17B1	LABEL	P14061
HSD17B10	LABEL	Q99714
HSD17B11	LABEL	Q8NBQ5
HSD17B2	LABEL	P37059
HSD17B3	LABEL	P37058
HSD17B4	LABEL	P51659
HSD17B6	LABEL	O14756
HSD17B7	LABEL	P56937
HSD17B8	LABEL	Q92506
HSD3B1	LABEL	P14060
HSD3B2	LABEL	P26439
HSP90AA1	LABEL	P07900
HSP90AB1	LABEL	P08238
HSPA1A	LABEL	P0DMV8
HSPA5	LABEL	P11021
HSPA8	LABEL	P11142
HSPB1	LABEL	P04792
HTR1A	LABEL	P08908
HTR1B	LABEL	P28222
HTR1D	LABEL	P28221
HTR1E	LABEL	P28566
HTR1F	LABEL	P30939
HTR2A	LABEL	P28223
HTR2B	LABEL	P41595
HTR2C	LABEL	P28335
HTR3A	LABEL	P46098
HTR3B	LABEL	O95264
HTR4	LABEL	Q13639
HTR5A	LABEL	P47898
HTR6	LABEL	P50406
HTR7	LABEL	P34969
ICAM1	LABEL	P05362
IDE	LABEL	P14735
IDH1	LABEL	O75874
IDH2	LABEL	P48735
IDH3A	LABEL	P50213
IDH3B	LABEL	O43837
IDH3G	LABEL	P51553
IDO1	LABEL	P14902
IFNG	LABEL	P01579
IGF1R	LABEL	P08069
IGHG2	LABEL	P01859
IGLC1	LABEL	P0CG04
IGSF10	LABEL	Q6WRI0
IHH	LABEL	Q14623
IKBKB	LABEL	O14920
IKBKG	LABEL	Q9Y6K9
IL10	LABEL	P22301
IL12A	LABEL	P29459
IL12B	LABEL	P29460
IL17A	LABEL	Q16552
IL1B	LABEL	P01584
IL2	LABEL	P60568
IL3	LABEL	P08700
IL4I1	LABEL	Q96RQ9
IL5	LABEL	P05113
IL5RA	LABEL	Q01344
IL6	LABEL	P05231
IMPA1	LABEL	P29218
IMPDH1	LABEL	P20839
IMPDH2	LABEL	P12268
INCENP	LABEL	Q9NQS7
INPP5D	LABEL	Q92835
INS	LABEL	P01308
INSR	LABEL	P06213
INSRR	LABEL	P14616
IRAK4	LABEL	Q9NWZ3
IRF3	LABEL	Q14653
ITGA2	LABEL	P17301
ITGA2B	LABEL	P08514
ITGA4	LABEL	P13612
ITGA5	LABEL	P08648
ITGAL	LABEL	P20701
ITGAV	LABEL	P06756
ITGB1	LABEL	P05556
ITGB2	LABEL	P05107
ITGB3	LABEL	P05106
ITGB6	LABEL	P18564
ITGB7	LABEL	P26010
ITK	LABEL	Q08881
ITPA	LABEL	Q9BY32
ITPR1	LABEL	Q14643
ITPR2	LABEL	Q14571
ITPR3	LABEL	Q14573
IVD	LABEL	P26440
JAK1	LABEL	P23458
JAK2	LABEL	O60674
JAK3	LABEL	P52333
JDP2	LABEL	Q8WYK2
JUN	LABEL	P05412
KARS	LABEL	Q15046
KAT2A	LABEL	Q92830
KAT2B	LABEL	Q92831
KAT5	LABEL	Q92993
KCNA1	LABEL	Q09470
KCNA10	LABEL	Q16322
KCNA2	LABEL	P16389
KCNA3	LABEL	P22001
KCNA4	LABEL	P22459
KCNA5	LABEL	P22460
KCNA6	LABEL	P17658
KCNA7	LABEL	Q96RP8
KCNB1	LABEL	Q14721
KCNB2	LABEL	Q92953
KCNC1	LABEL	P48547
KCNC2	LABEL	Q96PR1
KCNC3	LABEL	Q14003
KCNC4	LABEL	Q03721
KCND1	LABEL	Q9NSA2
KCND2	LABEL	Q9NZV8
KCND3	LABEL	Q9UK17
KCNF1	LABEL	Q9H3M0
KCNG1	LABEL	Q9UIX4
KCNG2	LABEL	Q9UJ96
KCNG3	LABEL	Q8TAE7
KCNG4	LABEL	Q8TDN1
KCNH1	LABEL	O95259
KCNH2	LABEL	Q12809
KCNH3	LABEL	Q9ULD8
KCNH4	LABEL	Q9UQ05
KCNH5	LABEL	Q8NCM2
KCNH6	LABEL	Q9H252
KCNH7	LABEL	Q9NS40
KCNH8	LABEL	Q96L42
KCNJ1	LABEL	P48048
KCNJ10	LABEL	P78508
KCNJ11	LABEL	Q14654
KCNJ12	LABEL	Q14500
KCNJ13	LABEL	O60928
KCNJ14	LABEL	Q9UNX9
KCNJ15	LABEL	Q99712
KCNJ3	LABEL	P48549
KCNJ4	LABEL	P48050
KCNJ5	LABEL	P48544
KCNJ6	LABEL	P48051
KCNJ8	LABEL	Q15842
KCNK1	LABEL	O00180
KCNK10	LABEL	P57789
KCNK12	LABEL	Q9HB15
KCNK13	LABEL	Q9HB14
KCNK15	LABEL	Q9H427
KCNK18	LABEL	Q7Z418
KCNK2	LABEL	O95069
KCNK3	LABEL	O14649
KCNK4	LABEL	Q9NYG8
KCNK6	LABEL	Q9Y257
KCNK9	LABEL	Q9NPC2
KCNMA1	LABEL	Q12791
KCNMB1	LABEL	Q16558
KCNMB2	LABEL	Q9Y691
KCNMB3	LABEL	Q9NPA1
KCNMB4	LABEL	Q86W47
KCNN1	LABEL	Q92952
KCNN2	LABEL	Q9H2S1
KCNN3	LABEL	Q9UGI6
KCNN4	LABEL	O15554
KCNQ1	LABEL	P51787
KCNQ2	LABEL	O43526
KCNQ3	LABEL	O43525
KCNQ4	LABEL	P56696
KCNQ5	LABEL	Q9NR82
KCNS1	LABEL	Q96KK3
KCNS2	LABEL	Q9ULS6
KCNS3	LABEL	Q9BQ31
KCNT2	LABEL	Q6UVM3
KCNV1	LABEL	Q6PIU1
KCNV2	LABEL	Q8TDN2
KCTD12	LABEL	Q96CX2
KCTD16	LABEL	Q68DU8
KCTD8	LABEL	Q6ZWB6
KDM1A	LABEL	O60341
KDM2A	LABEL	Q9Y2K7
KDM3A	LABEL	Q9Y4C1
KDM4A	LABEL	O75164
KDM4B	LABEL	O94953
KDM4C	LABEL	Q9H3R0
KDM4E	LABEL	B2RXH2
KDM5A	LABEL	P29375
KDM5C	LABEL	P41229
KDM6A	LABEL	O15550
KDM6B	LABEL	O15054
KDM7A	LABEL	Q6ZMT4
KDR	LABEL	P35968
KEAP1	LABEL	Q14145
KHK	LABEL	P50053
KIF11	LABEL	P52732
KIF18A	LABEL	Q8NI77
KIT	LABEL	P10721
KLF4	LABEL	O43474
KMO	LABEL	O15229
KRAS	LABEL	P01116
KRT12	LABEL	Q99456
KRTAP5-2	LABEL	Q701N4
KYNU	LABEL	Q16719
L3HYPDH	LABEL	Q96EM0
L3MBTL1	LABEL	Q9Y468
L3MBTL3	LABEL	Q96JM7
LAP3	LABEL	P28838
LARS	LABEL	Q9P2J5
LARS2	LABEL	Q15031
LCK	LABEL	P06239
LCMT1	LABEL	Q9UIC8
LCMT2	LABEL	O60294
LCT	LABEL	P09848
LDHA	LABEL	P00338
LDHAL6A	LABEL	Q6ZMR3
LDHAL6B	LABEL	Q9BYZ2
LDHB	LABEL	P07195
LDHC	LABEL	P07864
LDLR	LABEL	P01130
LGSN	LABEL	Q5TDP6
LHCGR	LABEL	P22888
LIF	LABEL	P15018
LIMK1	LABEL	P53667
LIMK2	LABEL	P53671
LIPE	LABEL	Q05469
LIPF	LABEL	P07098
LPA	LABEL	P08519
LPAR1	LABEL	Q92633
LPAR2	LABEL	Q9HBW0
LPAR3	LABEL	Q9UBY5
LPAR5	LABEL	Q9H1C0
LPL	LABEL	P06858
LRAT	LABEL	O95237
LRRK2	LABEL	Q5S007
LSM6	LABEL	P62312
LSS	LABEL	P48449
LTA4H	LABEL	P09960
LTB4R	LABEL	Q15722
LTB4R2	LABEL	Q9NPC1
LTC4S	LABEL	Q16873
LTF	LABEL	P02788
LY96	LABEL	Q9Y6Y9
LYN	LABEL	P07948
LYPLA1	LABEL	O75608
LYZ	LABEL	P61626
M6PR	LABEL	P20645
MALT1	LABEL	Q9UDY8
MAN1B1	LABEL	Q9UKM7
MAN2A1	LABEL	Q16706
MAOA	LABEL	P21397
MAOB	LABEL	P27338
MAP1A	LABEL	P78559
MAP2	LABEL	P11137
MAP2K1	LABEL	Q02750
MAP2K2	LABEL	P36507
MAP2K5	LABEL	Q13163
MAP2K7	LABEL	O14733
MAP3K1	LABEL	Q13233
MAP3K10	LABEL	Q02779
MAP3K11	LABEL	Q16584
MAP3K2	LABEL	Q9Y2U5
MAP3K5	LABEL	Q99683
MAP3K6	LABEL	O95382
MAP3K7	LABEL	O43318
MAP3K8	LABEL	P41279
MAP3K9	LABEL	P80192
MAP4	LABEL	P27816
MAP4K5	LABEL	Q9Y4K4
MAPK1	LABEL	P28482
MAPK10	LABEL	P53779
MAPK11	LABEL	Q15759
MAPK12	LABEL	P53778
MAPK13	LABEL	O15264
MAPK14	LABEL	Q16539
MAPK3	LABEL	P27361
MAPK7	LABEL	Q13164
MAPK8	LABEL	P45983
MAPK8IP1	LABEL	Q9UQF2
MAPK9	LABEL	P45984
MAPKAPK2	LABEL	P49137
MAPT	LABEL	P10636
MARK1	LABEL	Q9P0L2
MARK3	LABEL	P27448
MBTPS1	LABEL	Q14703
MC1R	LABEL	Q01726
MC2R	LABEL	Q01718
MC3R	LABEL	P41968
MC4R	LABEL	P32245
MC5R	LABEL	P33032
MCCC1	LABEL	Q96RQ3
MCCC2	LABEL	Q9HCC0
MCHR1	LABEL	Q99705
MCL1	LABEL	Q07820
MCOLN3	LABEL	Q8TDD5
MDH1	LABEL	P40925
MDH2	LABEL	P40926
MDM2	LABEL	Q00987
MDM4	LABEL	O15151
ME1	LABEL	P48163
ME2	LABEL	P23368
ME3	LABEL	Q16798
MELK	LABEL	Q14680
MERTK	LABEL	Q12866
MET	LABEL	P08581
METAP2	LABEL	P50579
MGAM	LABEL	O43451
MGEA5	LABEL	O60502
MGLL	LABEL	Q99685
MGMT	LABEL	P16455
MGST1	LABEL	P10620
MGST2	LABEL	Q99735
MGST3	LABEL	O14880
MIF	LABEL	P14174
MKL1	LABEL	Q969V6
MKNK1	LABEL	Q9BUB5
MKNK2	LABEL	Q9HBH9
MLNR	LABEL	O43193
MME	LABEL	P08473
MMP1	LABEL	P03956
MMP10	LABEL	P09238
MMP11	LABEL	P24347
MMP12	LABEL	P39900
MMP13	LABEL	P45452
MMP14	LABEL	P50281
MMP15	LABEL	P51511
MMP16	LABEL	P51512
MMP17	LABEL	Q9ULZ9
MMP19	LABEL	Q99542
MMP2	LABEL	P08253
MMP20	LABEL	O60882
MMP21	LABEL	Q8N119
MMP24	LABEL	Q9Y5R2
MMP25	LABEL	Q9NPA2
MMP26	LABEL	Q9NRE1
MMP27	LABEL	Q9H306
MMP28	LABEL	Q9H239
MMP3	LABEL	P08254
MMP7	LABEL	P09237
MMP8	LABEL	P22894
MMP9	LABEL	P14780
MOCOS	LABEL	Q96EN8
MPL	LABEL	P40238
MPO	LABEL	P05164
MRE11A	LABEL	P49959
MRGPRX1	LABEL	Q96LB2
MSMO1	LABEL	Q15800
MST1R	LABEL	Q04912
MT-CO1	LABEL	P00395
MT-CO2	LABEL	P00403
MT-CO3	LABEL	P00414
MT-ND1	LABEL	P03886
MT-ND2	LABEL	P03891
MT-ND3	LABEL	P03897
MT-ND4	LABEL	P03905
MT-ND4L	LABEL	P03901
MT-ND5	LABEL	P03915
MT-ND6	LABEL	P03923
MTAP	LABEL	Q13126
MTHFD1	LABEL	P11586
MTHFD2	LABEL	P13995
MTNR1A	LABEL	P48039
MTNR1B	LABEL	P49286
MTOR	LABEL	P42345
MTR	LABEL	Q99707
MTRR	LABEL	Q9UBK8
MTTP	LABEL	P55157
MUC2	LABEL	Q02817
MUT	LABEL	P22033
MYBPC3	LABEL	Q14896
MYC	LABEL	P01106
MYD88	LABEL	Q99836
MYH14	LABEL	Q7Z406
MYH2	LABEL	Q9UKX2
MYLK	LABEL	Q15746
MYLK2	LABEL	Q9H1R3
NADSYN1	LABEL	Q6IA69
NAE1	LABEL	Q13564
NAGK	LABEL	Q9UJ70
NAGLU	LABEL	P54802
NAGPA	LABEL	Q9UK23
NAGS	LABEL	Q8N159
NALCN	LABEL	Q8IZF0
NAMPT	LABEL	P43490
NARS	LABEL	O43776
NARS2	LABEL	Q96I59
NAT10	LABEL	Q9H0A0
NCAN	LABEL	O14594
NCF1	LABEL	P14598
NCF2	LABEL	P19878
NCF4	LABEL	Q15080
NCOA1	LABEL	Q15788
NCOA2	LABEL	Q15596
NDC80	LABEL	O14777
NDUFA1	LABEL	O15239
NDUFA10	LABEL	O95299
NDUFA11	LABEL	Q86Y39
NDUFA12	LABEL	Q9UI09
NDUFA13	LABEL	Q9P0J0
NDUFA2	LABEL	O43678
NDUFA3	LABEL	O95167
NDUFA4	LABEL	O00483
NDUFA4L2	LABEL	Q9NRX3
NDUFA5	LABEL	Q16718
NDUFA6	LABEL	P56556
NDUFA7	LABEL	O95182
NDUFA8	LABEL	P51970
NDUFA9	LABEL	Q16795
NDUFAB1	LABEL	O14561
NDUFB1	LABEL	O75438
NDUFB10	LABEL	O96000
NDUFB2	LABEL	O95178
NDUFB3	LABEL	O43676
NDUFB4	LABEL	O95168
NDUFB5	LABEL	O43674
NDUFB6	LABEL	O95139
NDUFB7	LABEL	P17568
NDUFB8	LABEL	O95169
NDUFB9	LABEL	Q9Y6M9
NDUFC1	LABEL	O43677
NDUFC2	LABEL	O95298
NDUFS1	LABEL	P28331
NDUFS2	LABEL	O75306
NDUFS3	LABEL	O75489
NDUFS4	LABEL	O43181
NDUFS5	LABEL	O43920
NDUFS6	LABEL	O75380
NDUFS7	LABEL	O75251
NDUFS8	LABEL	O00217
NDUFV1	LABEL	P49821
NDUFV2	LABEL	P19404
NDUFV3	LABEL	P56181
NEDD4	LABEL	P46934
NEIL1	LABEL	Q96FI4
NEK11	LABEL	Q8NG66
NEU1	LABEL	Q99519
NEU2	LABEL	Q9Y3R4
NEUROD1	LABEL	Q13562
NFATC1	LABEL	O95644
NFE2L2	LABEL	Q16236
NFKB1	LABEL	P19838
NFKB2	LABEL	Q00653
NFKBIA	LABEL	P25963
NFS1	LABEL	Q9Y697
NGF	LABEL	P01138
NGFR	LABEL	P08138
NHP2L1	LABEL	P55769
NISCH	LABEL	Q9Y2I1
NLRP3	LABEL	Q96P20
NMBR	LABEL	P28336
NNMT	LABEL	P40261
NNT	LABEL	Q13423
NOS1	LABEL	P29475
NOS2	LABEL	P35228
NOS3	LABEL	P29474
NOX1	LABEL	Q9Y5S8
NOX4	LABEL	Q9NPH5
NOXO1	LABEL	Q8NFA2
NPBWR1	LABEL	P48145
NPC1L1	LABEL	Q9UHC9
NPEPPS	LABEL	P55786
NPR1	LABEL	P16066
NPSR1	LABEL	Q6W5P4
NPY1R	LABEL	P25929
NPY2R	LABEL	P49146
NPY5R	LABEL	Q15761
NQO1	LABEL	P15559
NQO2	LABEL	P16083
NR0B1	LABEL	P51843
NR1H2	LABEL	P55055
NR1H3	LABEL	Q13133
NR1H4	LABEL	Q96RI1
NR1I2	LABEL	O75469
NR1I3	LABEL	Q14994
NR2C2	LABEL	P49116
NR3C1	LABEL	P04150
NR3C2	LABEL	P08235
NR5A1	LABEL	Q13285
NR5A2	LABEL	O00482
NRAS	LABEL	P01111
NRP1	LABEL	O14786
NSDHL	LABEL	Q15738
NT5C2	LABEL	P49902
NT5E	LABEL	P21589
NTRK1	LABEL	P04629
NTRK2	LABEL	Q16620
NTRK3	LABEL	Q16288
NTSR1	LABEL	P30989
NTSR2	LABEL	O95665
NUAK1	LABEL	O60285
NUAK2	LABEL	Q9H093
NUDT1	LABEL	P36639
OAT	LABEL	P04181
ODC1	LABEL	P11926
OGDH	LABEL	Q02218
OPLAH	LABEL	O14841
OPRD1	LABEL	P41143
OPRK1	LABEL	P41145
OPRL1	LABEL	P41146
OPRM1	LABEL	P35372
ORM1	LABEL	P02763
ORM2	LABEL	P19652
OTC	LABEL	P00480
OXCT1	LABEL	P55809
OXCT2	LABEL	Q9BYC2
OXER1	LABEL	Q8TDS5
OXGR1	LABEL	Q96P68
OXT	LABEL	P01178
OXTR	LABEL	P30559
P2RX3	LABEL	P56373
P2RX4	LABEL	Q99571
P2RX7	LABEL	Q99572
P2RY1	LABEL	P47900
P2RY10	LABEL	O00398
P2RY11	LABEL	Q96G91
P2RY12	LABEL	Q9H244
P2RY13	LABEL	Q9BPV8
P2RY2	LABEL	P41231
P2RY4	LABEL	P51582
P2RY6	LABEL	Q15077
P3H1	LABEL	Q32P28
P3H2	LABEL	Q8IVL5
P3H3	LABEL	Q8IVL6
P4HA1	LABEL	P13674
P4HA2	LABEL	O15460
P4HB	LABEL	P07237
PADI1	LABEL	Q9ULC6
PADI2	LABEL	Q9Y2J8
PADI3	LABEL	Q9ULW8
PADI4	LABEL	Q9UM07
PADI6	LABEL	Q6TGC4
PAH	LABEL	P00439
PAICS	LABEL	P22234
PAK1	LABEL	Q13153
PAK2	LABEL	Q13177
PAK3	LABEL	O75914
PAK4	LABEL	O96013
PAK6	LABEL	Q9NQU5
PAK7	LABEL	Q9P286
PANX1	LABEL	Q96RD7
PANX2	LABEL	Q96RD6
PANX3	LABEL	Q96QZ0
PAPOLA	LABEL	P51003
PARP1	LABEL	P09874
PARP15	LABEL	Q460N3
PARP2	LABEL	Q9UGN5
PARP3	LABEL	Q9Y6F1
PARS2	LABEL	Q7L3T8
PASK	LABEL	Q96RG2
PBRM1	LABEL	Q86U86
PC	LABEL	P11498
PCCA	LABEL	P05165
PCCB	LABEL	P05166
PCYT1A	LABEL	P49585
PCYT1B	LABEL	Q9Y5K3
PDE10A	LABEL	Q9Y233
PDE11A	LABEL	Q9HCR9
PDE1A	LABEL	P54750
PDE1B	LABEL	Q01064
PDE1C	LABEL	Q14123
PDE2A	LABEL	O00408
PDE3A	LABEL	Q14432
PDE3B	LABEL	Q13370
PDE4A	LABEL	P27815
PDE4B	LABEL	Q07343
PDE4C	LABEL	Q08493
PDE4D	LABEL	Q08499
PDE5A	LABEL	O76074
PDE6A	LABEL	P16499
PDE6B	LABEL	P35913
PDE6C	LABEL	P51160
PDE6D	LABEL	O43924
PDE6G	LABEL	P18545
PDE6H	LABEL	Q13956
PDE7A	LABEL	Q13946
PDE7B	LABEL	Q9NP56
PDE8A	LABEL	O60658
PDE8B	LABEL	O95263
PDE9A	LABEL	O76083
PDGFD	LABEL	Q9GZP0
PDGFRA	LABEL	P16234
PDGFRB	LABEL	P09619
PDHA1	LABEL	P08559
PDHA2	LABEL	P29803
PDHB	LABEL	P11177
PDK1	LABEL	O15530
PDK2	LABEL	Q15119
PDPK1	LABEL	O15530
PDXDC1	LABEL	Q6P996
PDXK	LABEL	O00764
PDXP	LABEL	Q96GD0
PECR	LABEL	Q9BY49
PFAS	LABEL	O15067
PFKFB3	LABEL	Q16875
PGCP	LABEL	Q9Y646
PGD	LABEL	P52209
PGF	LABEL	P49763
PGGT1B	LABEL	P53609
PGR	LABEL	P06401
PGRMC1	LABEL	O00264
PHF8	LABEL	Q9UPP1
PHGDH	LABEL	O43175
PHOSPHO1	LABEL	Q8TCT1
PHYKPL	LABEL	Q8IUZ5
PI3	LABEL	P19957
PI4K2A	LABEL	Q9BTU6
PI4K2B	LABEL	Q8TCG2
PI4KA	LABEL	P42356
PI4KB	LABEL	Q9UBF8
PIEZO1	LABEL	Q92508
PIK3C3	LABEL	Q8NEB9
PIK3CA	LABEL	P42336
PIK3CB	LABEL	P42338
PIK3CD	LABEL	O00329
PIK3CG	LABEL	P48736
PIK3R1	LABEL	P27986
PIKFYVE	LABEL	Q9Y2I7
PIM1	LABEL	P11309
PIM2	LABEL	Q9P1W9
PIM3	LABEL	Q86V86
PIP5K1C	LABEL	O60331
PIPOX	LABEL	Q9P0Z9
PKD1	LABEL	P98161
PKD2	LABEL	Q13563
PKD2L1	LABEL	Q9P0L9
PKIA	LABEL	P61925
PKM	LABEL	P14618
PKMYT1	LABEL	Q99640
PKN1	LABEL	Q16512
PKN2	LABEL	Q16513
PLA2G1B	LABEL	P04054
PLA2G2A	LABEL	P14555
PLA2G2E	LABEL	Q9NZK7
PLA2G4A	LABEL	P47712
PLA2G7	LABEL	Q13093
PLAT	LABEL	P00750
PLAU	LABEL	P00749
PLAUR	LABEL	Q03405
PLCB2	LABEL	Q00722
PLCB3	LABEL	Q01970
PLCD1	LABEL	P51178
PLCG1	LABEL	P19174
PLCG2	LABEL	P16885
PLD1	LABEL	Q13393
PLD2	LABEL	O14939
PLEKHA1	LABEL	Q9HB21
PLG	LABEL	P00747
PLK1	LABEL	P53350
PLK2	LABEL	Q9NYY3
PLK3	LABEL	Q9H4B4
PLK4	LABEL	O00444
PLOD1	LABEL	Q02809
PLOD3	LABEL	O60568
PNKP	LABEL	Q96T60
PNLIP	LABEL	P16233
PNP	LABEL	P00491
PNPO	LABEL	Q9NVS9
POLA1	LABEL	P09884
POLA2	LABEL	Q14181
POLB	LABEL	P06746
POLD1	LABEL	P28340
POLE	LABEL	Q07864
POLE2	LABEL	P56282
POLE3	LABEL	Q9NRF9
POLE4	LABEL	Q9NR33
POLR2A	LABEL	P24928
POMC	LABEL	P01189
PON1	LABEL	P27169
POR	LABEL	P16435
PORCN	LABEL	Q9H237
POU2F2	LABEL	P09086
POU5F1	LABEL	Q01860
PPARA	LABEL	Q07869
PPARD	LABEL	Q03181
PPARG	LABEL	P37231
PPAT	LABEL	Q06203
PPCDC	LABEL	Q96CD2
PPIA	LABEL	P62937
PPIB	LABEL	P23284
PPIC	LABEL	P45877
PPIF	LABEL	P30405
PPIG	LABEL	Q13427
PPIH	LABEL	O43447
PPM1D	LABEL	O15297
PPP2CA	LABEL	P67775
PPP2CB	LABEL	P62714
PPP3CA	LABEL	Q08209
PPP3R2	LABEL	Q96LZ3
PRC1	LABEL	O43663
PRDX2	LABEL	P32119
PRDX5	LABEL	P30044
PREP	LABEL	P48147
PRKAA1	LABEL	Q13131
PRKAA2	LABEL	P54646
PRKAB1	LABEL	Q9Y478
PRKAB2	LABEL	O43741
PRKACA	LABEL	P17612
PRKAG1	LABEL	P54619
PRKAG2	LABEL	Q9UGJ0
PRKAG3	LABEL	Q9UGI9
PRKCA	LABEL	P17252
PRKCB	LABEL	P05771
PRKCD	LABEL	Q05655
PRKCE	LABEL	Q02156
PRKCG	LABEL	P05129
PRKCI	LABEL	P41743
PRKCQ	LABEL	Q04759
PRKCZ	LABEL	Q05513
PRKDC	LABEL	P78527
PRKG1	LABEL	Q13976
PRKX	LABEL	P51817
PRMT1	LABEL	Q99873
PRMT3	LABEL	O60678
PRMT5	LABEL	O14744
PRMT6	LABEL	Q96LA8
PROC	LABEL	P04070
PRODH	LABEL	O43272
PROS1	LABEL	P07225
PROSC	LABEL	O94903
PROZ	LABEL	P22891
PRSS1	LABEL	P07477
PSAT1	LABEL	Q9Y617
PSEN1	LABEL	P49768
PSEN2	LABEL	P49810
PSENEN	LABEL	Q9NZ42
PSMA1	LABEL	P25786
PSMA2	LABEL	P25787
PSMA3	LABEL	P25788
PSMA4	LABEL	P25789
PSMA5	LABEL	P28066
PSMA6	LABEL	P60900
PSMA7	LABEL	O14818
PSMA8	LABEL	Q8TAA3
PSMB1	LABEL	P20618
PSMB10	LABEL	P40306
PSMB11	LABEL	A5LHX3
PSMB2	LABEL	P49721
PSMB3	LABEL	P49720
PSMB4	LABEL	P28070
PSMB5	LABEL	P28074
PSMB6	LABEL	P28072
PSMB7	LABEL	Q99436
PSMB8	LABEL	P28062
PSMB9	LABEL	P28065
PSMD1	LABEL	Q99460
PSMD2	LABEL	Q13200
PTAFR	LABEL	P25105
PTGDR	LABEL	Q13258
PTGDR2	LABEL	Q9Y5Y4
PTGER1	LABEL	P34995
PTGER2	LABEL	P43116
PTGER3	LABEL	P43115
PTGER4	LABEL	P35408
PTGES	LABEL	O14684
PTGFR	LABEL	P43088
PTGIR	LABEL	P43119
PTGIS	LABEL	Q16647
PTGR1	LABEL	Q14914
PTGR2	LABEL	Q8N8N7
PTGS1	LABEL	P23219
PTGS2	LABEL	P35354
PTK2	LABEL	Q05397
PTK2B	LABEL	Q14289
PTK6	LABEL	Q13882
PTPMT1	LABEL	Q8WUK0
PTPN1	LABEL	P18031
PTPN11	LABEL	Q06124
PTPN2	LABEL	P17706
PTPN4	LABEL	P29074
PTPN6	LABEL	P29350
PTPRE	LABEL	P23469
PTPRS	LABEL	Q13332
PYCR1	LABEL	P32322
PYCR2	LABEL	Q96C36
PYCRL	LABEL	Q53H96
PYGB	LABEL	P11216
PYGL	LABEL	P06737
PYGM	LABEL	P11217
QDPR	LABEL	P09417
QPRT	LABEL	Q15274
RAB9A	LABEL	P51151
RAC1	LABEL	P63000
RAC2	LABEL	P15153
RAC3	LABEL	P60763
RAD51	LABEL	Q06609
RAF1	LABEL	P04049
RALA	LABEL	P11233
RALB	LABEL	P11234
RAMP1	LABEL	O60894
RAPGEF3	LABEL	O95398
RAPGEF4	LABEL	Q8WZA2
RARA	LABEL	P10276
RARB	LABEL	P10826
RARG	LABEL	P13631
RARRES1	LABEL	P49788
RBP1	LABEL	P09455
RBP3	LABEL	P10745
RBP4	LABEL	P02753
RDH11	LABEL	Q8TC12
RDH12	LABEL	Q96NR8
RDH13	LABEL	Q8NBN7
RDH14	LABEL	Q9HBH5
RDH5	LABEL	Q92781
RDH8	LABEL	Q9NYR8
REG1A	LABEL	P05451
RELA	LABEL	Q04206
REN	LABEL	P00797
RENBP	LABEL	P51606
RET	LABEL	P07949
RETSAT	LABEL	Q6NUM9
RFK	LABEL	Q969G6
RGS4	LABEL	P49798
RGS8	LABEL	P57771
RHO	LABEL	P08100
RHOA	LABEL	P61586
RHOC	LABEL	P08134
RIPK1	LABEL	Q13546
RIPK2	LABEL	O43353
RLBP1	LABEL	P12271
RNASE1	LABEL	P07998
RNASE3	LABEL	P12724
RNPEP	LABEL	Q9H4A4
ROCK1	LABEL	Q13464
ROCK2	LABEL	O75116
RORA	LABEL	P35398
RORB	LABEL	Q92753
RORC	LABEL	P51449
ROS1	LABEL	P08922
RPL10L	LABEL	Q96L21
RPL11	LABEL	P62913
RPL13A	LABEL	P40429
RPL15	LABEL	P61313
RPL19	LABEL	P84098
RPL23	LABEL	P62829
RPL23A	LABEL	P62750
RPL26L1	LABEL	Q9UNX3
RPL3	LABEL	P39023
RPL37	LABEL	P61927
RPL8	LABEL	P62917
RPS2	LABEL	P15880
RPS6KA1	LABEL	Q15418
