HUGO	Label	UNIPROT_KB_ID
AURKB	LABEL	Q96GD4
AURKC	LABEL	Q9UQB9
AVPR1A	LABEL	P37288
AVPR1B	LABEL	P47901
AVPR2	LABEL	P30518
AXIN1	LABEL	O15169
AXL	LABEL	P30530
AZIN2	LABEL	Q96A70
B2M	LABEL	P61769
B4GALT1	LABEL	P15291
B4GALT2	LABEL	O60909
B4GALT3	LABEL	O60512
B4GALT4	LABEL	O60513
BAAT	LABEL	Q14032
BACE1	LABEL	P56817
BAX	LABEL	Q07812
BAZ2A	LABEL	Q9UIF9
BAZ2B	LABEL	Q9UIF8
BBOX1	LABEL	O75936
BCAT1	LABEL	P54687
BCAT2	LABEL	O15382
BCHE	LABEL	P06276
BCL2	LABEL	P10415
BCL2L1	LABEL	Q07817
BCL2L2	LABEL	Q92843
BCR	LABEL	P11274
BDH1	LABEL	Q02338
BDKRB1	LABEL	P46663
BDKRB2	LABEL	P30411
BGLAP	LABEL	P02818
BHMT	LABEL	Q93088
BHMT2	LABEL	Q9H2M3
BIRC2	LABEL	Q13490
BIRC3	LABEL	Q13489
BIRC5	LABEL	O15392
BIRC7	LABEL	Q96CA5
BLK	LABEL	P51451
BLVRA	LABEL	P53004
BLVRB	LABEL	P30043
BMP1	LABEL	P13497
BMP2	LABEL	P12643
BMPR1A	LABEL	P36894
BMPR1B	LABEL	O00238
BMX	LABEL	P51813
BRAF	LABEL	P15056
BRD1	LABEL	O95696
BRD2	LABEL	P25440
BRD3	LABEL	Q15059
BRD4	LABEL	O60885
BRD9	LABEL	Q9H8M2
BRDT	LABEL	Q58F21
BRPF1	LABEL	P55201
BRPF3	LABEL	Q9ULD4
BRS3	LABEL	P32247
BST1	LABEL	Q10588
BTK	LABEL	Q06187
BTRC	LABEL	Q9Y297
C1QBP	LABEL	Q07021
C1R	LABEL	P00736
C22orf28	LABEL	Q9Y3I0
C5AR1	LABEL	P21730
C8G	LABEL	P07360
CA1	LABEL	P00915
CA10	LABEL	Q9NS85
CA11	LABEL	O75493
CA12	LABEL	O43570
CA13	LABEL	Q8N1Q1
CA14	LABEL	Q9ULX7
CA2	LABEL	P00918
CA3	LABEL	P07451
CA4	LABEL	P22748
CA5A	LABEL	P35218
CA5B	LABEL	Q9Y2D0
CA6	LABEL	P23280
CA7	LABEL	P43166
CA8	LABEL	P35219
CA9	LABEL	Q16790
CACNA1A	LABEL	O00555
CACNA1B	LABEL	Q00975
CACNA1C	LABEL	Q13936
CACNA1D	LABEL	Q01668
CACNA1E	LABEL	Q15878
CACNA1F	LABEL	O60840
CACNA1G	LABEL	O43497
